"id","name","type","damage_class","pp","power","accuracy","priority","effect","effect_chance","caused_effect","crit_rate","recoil","flinch_chance","healing","min_turns","max_turns","status","category","range","flags","None0","None1","None2","padding0","padding1","padding2"
0,,,"none",0,0,0,0,"No Effect",0,"fine",0,0,0,0,0,0,0,0,0,0,0,0,0,83,83,0
1,"Pound","Normal","physical",35,40,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
2,"Karate Chop","Fighting","physical",25,60,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
3,"DoubleSlap","Normal","physical",10,15,100,0,"Multi-hit attack. Attacks two to five times in a row. 37.5% for 2 or 3 times; 12.5% for 4 or 5 times.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
4,"Comet Punch","Normal","physical",15,25,100,0,"Multi-hit attack. Attacks two to five times in a row. 37.5% for 2 or 3 times; 12.5% for 4 or 5 times.",0,"fine",0,0,0,0,0,0,0,0,0,201,0,0,0,83,83,0
5,"Mega Punch","Normal","physical",20,80,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,201,0,0,0,83,83,0
6,"Pay Day","Normal","physical",20,40,100,0,"{In internal battles, player obtains money after battle when using, if the player wins. If this attack is successful, an amount equal to five times the user's current level (during attack's use) is added to the money to be obtained. Not obtained if fleeing occurred in the battle.}",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
7,"Fire Punch","Fire","physical",15,75,100,0,"May burn opponent. (10%)",10,"burnt",0,0,0,0,0,0,1,4,0,201,0,0,0,83,83,0
8,"Ice Punch","Ice","physical",15,75,100,0,,0,"fine",0,0,0,0,0,0,1,4,0,201,0,0,0,83,83,0
9,"ThunderPunch","Electric","physical",15,75,100,0,"May paralyze opponent. (10%)",10,"paralyzed",0,0,0,0,0,0,1,4,0,201,0,0,0,83,83,0
10,"Scratch","Normal","physical",35,40,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
11,"ViceGrip","Normal","physical",30,55,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
12,"Guillotine","Normal","physical",5,1,30,0,"One-hit KO. Deals damage to opponent equal to opponent's total HP. Ineffective if opponent's level is greater than user's level. When used, this attack's accuracy increases by the level difference. Affected by type immunities. Other accuracy effects are ignored for this attack.",0,"fine",0,0,0,0,0,0,0,9,0,73,0,0,0,83,83,0
13,"Razor Wind","Normal","special",10,120,100,0,"Two-turn attack.",0,"fine",0,0,0,0,0,0,0,0,5,74,0,0,0,83,83,0
14,"Swords Dance","Normal","none",30,0,101,0,"Increases user's Attack by 2 stages.",0,"fine",0,0,0,0,0,0,0,2,7,32,65536,131072,0,83,83,0
15,"Cut","Normal","physical",30,50,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
16,"Gust","Flying","special",35,40,100,0,"is doubled if opponent is using Fly or Bounce.",0,"fine",0,0,0,0,0,0,0,0,0,2120,0,0,0,83,83,0
17,"Wing Attack","Flying","physical",35,60,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,2121,0,0,0,83,83,0
18,"Whirlwind","Normal","none",20,0,100,-6,"{ Ends wild battles. In trainer battles, replaces opponent with a random non-active Pokémon in opponent's party; fails if opponent's party has no non-active Pokémon. Fails either way if Ingrain is in effect for opponent. Priority level -6.}",0,"fine",0,0,0,0,0,0,0,12,0,8280,0,0,0,83,83,0
19,"Fly","Flying","physical",15,110,100,0,"Two-turn attack. While user is using this attack, user is unaffected by attacks other than Gust, Thunder, Twister, and Sky Uppercut.",0,"fine",0,0,0,0,0,0,0,0,0,2635,0,0,0,83,83,0
20,"Bind","Normal","physical",20,35,100,0,"{Multi-turn attack. If this attack is successful, the effect begins. Effect lasts for [three to six] rounds, including the current round. During effect, opponent cannot switch or flee, and at the end of every round except the last, opponent loses 1/16 of total HP. Effect ends when user is replaced or opponent is replaced or uses Rapid Spin. The effect is not reset when this or another multi-turn attack is used against opponent during effect.} (100%)",100,"Special(8)",0,0,0,0,5,6,4,4,0,73,0,0,0,83,83,0
21,"Slam","Normal","physical",20,80,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
22,"Vine Whip","Grass","physical",15,35,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
23,"Stomp","Normal","physical",20,65,100,0,"May cause opponent to flinch. Power is doubled if Minimize is in effect for opponent.",0,"fine",0,0,30,0,0,0,0,0,0,73,0,0,0,83,83,0
24,"Double Kick","Fighting","physical",30,40,100,0,"Strikes twice.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
25,"Mega Kick","Normal","physical",5,90,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
26,"Jump Kick","Fighting","physical",10,95,100,0,"If this attack misses or becomes ineffective, user loses half of the damage the attack would have dealt (ignoring type immunities, not considered recoil damage), but not [less than 1 HP or] more HP than half of opponent's total HP.",0,"fine",0,0,0,0,0,0,0,0,0,585,0,0,0,83,83,0
27,"Rolling Kick","Fighting","physical",15,60,100,0,"May cause opponent to flinch.",0,"fine",0,0,30,0,0,0,0,0,0,73,0,0,0,83,83,0
28,"Sand-Attack","Ground","none",15,0,0,0,"Decreases opponent's Accuracy by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,0,88,393216,16711680,0,83,83,0
